cooperative_id,rata_jarak_antar_kopdes_m,kepadatan_jaringan_jalan,Kepadatan_Komersial_UMKM,Jarak_Min_Komersial_m,Kepadatan_Logistik_Eksternal,Jarak_Min_Logistik_m,Kepadatan_Bank_Besar,Jarak_Min_Bank_m,Kepadatan_Keuangan_Mikro,Jarak_Min_Keuangan_Mikro_m,populasi,persenatase perempuan,rata-rata usia,jumlah_kk,luas_km2,rata-rata anggota keluarga,kepadatan penduduk (jiwa/km2),ruas 100,ruas 200,ruas 300,ruas 400,ruas 500,ruas 600,ruas 700,ruas 800,ruas 900,ruas 1000,Peserta Keluarga Berencana,Bukan Peserta Keluarga Berencana,Tanaman Pangan,Rumah Tangga Usaha Pertanian,Usaha Pertanian Perorangan,Pendapatan_Asli_Desa_Rp
65377,14102.362402809766,0.0275987435547782,705,26.03,0,1500.0,25,112.99,0,1500.0,17510.0,50.33,36.02,6073.0,2.09,2.88,8377.99,1418.55,4178.04,8152.79,14295.21,21345.75,30137.42,41174.41,54023.24,69178.58,86704.01,1414.0,1174.0,8.0,120.0,120.0,325000000.0
47626,11539.875119464688,0.0102326665308651,275,152.38,0,1500.0,2,641.84,0,1500.0,5211.0,50.12,34.28,1651.0,2.94,3.16,1772.45,0.0,567.76,2038.2,3437.71,6409.49,11527.36,17143.5,21598.15,26711.72,32146.87,562.0,275.0,472.0,699.0,713.0,255600000.0
47665,11231.880810457462,0.0119421338591208,375,166.67,0,1500.0,5,501.06,1,455.61,4281.0,49.71,35.01,1479.0,1.83,2.89,2339.34,196.9,998.19,2269.2,5136.94,8676.17,12662.29,17743.89,24075.68,29850.19,37517.32,533.0,220.0,228.0,384.0,384.0,452400000.0
48921,10599.799894675274,0.0152157314046996,160,285.0,0,1500.0,1,968.4,0,1500.0,3613.0,49.65,34.22,1201.0,1.93,3.01,1872.02,199.76,1092.26,2427.68,4520.64,7346.63,12795.98,19699.51,27769.94,37452.06,47801.63,531.0,133.0,176.0,449.0,456.0,319700000.0
49367,10669.11941813707,0.0152155817990531,362,11.56,0,1500.0,4,271.55,0,1500.0,3520.0,50.54,34.65,1186.0,1.7,2.97,2070.59,775.04,2027.11,3754.84,6583.79,11645.99,17338.47,23568.27,31540.47,40370.92,47801.16,333.0,235.0,224.0,299.0,301.0,334000000.0
52707,11287.392921789193,0.0125637294048605,212,128.72,0,1500.0,4,482.43,0,1500.0,6174.0,50.39,35.11,2091.0,3.03,2.95,2037.62,684.02,2012.29,4284.87,7880.02,12498.23,17405.87,21073.44,26484.31,32766.98,39470.12,658.0,354.0,555.0,701.0,719.0,267200000.0
52931,10584.974865215008,0.0163977878994386,67,174.94,0,1500.0,0,1500.0,0,1500.0,3955.0,49.38,35.0,1344.0,1.53,2.94,2584.97,572.73,1839.85,3806.34,7987.12,13910.62,20840.09,29310.97,36354.71,43920.51,51515.17,442.0,280.0,189.0,441.0,453.0,427750000.0
55293,12796.311349386277,0.0131920126413089,625,224.47,0,1500.0,19,486.03,0,1500.0,6660.0,49.65,33.66,2117.0,2.24,3.15,2973.21,163.46,587.82,1708.79,3865.03,8625.15,14306.43,20833.75,27968.16,34511.62,41443.93,560.0,295.0,166.0,232.0,235.0,314000000.0
56002,12333.111970682809,0.0117182983471564,500,95.59,0,1500.0,11,200.53,0,1500.0,11338.0,49.39,33.67,3672.0,4.4,3.09,2576.82,73.58,1470.86,3749.19,6945.49,9963.56,13974.15,18155.12,23710.66,29587.51,36814.12,1269.0,632.0,636.0,1178.0,1200.0,276602000.0
57897,14137.680674145333,0.0049226210095471,98,33.43,0,1500.0,1,961.93,0,1500.0,4135.0,49.63,35.45,1342.0,6.09,3.08,678.98,362.59,1156.45,2697.41,5502.59,8010.68,9706.45,10837.28,12146.04,13417.83,15464.87,516.0,176.0,413.0,586.0,628.0,106500000.0
58577,15157.272246310366,0.005516173454314,133,266.33,0,1500.0,1,641.6,0,1500.0,4257.0,50.48,34.8,1446.0,3.22,2.94,1322.05,195.3,358.12,459.72,1385.78,2383.2,5129.05,8924.81,11791.97,14346.44,17329.57,497.0,211.0,193.0,377.0,380.0,270268000.0
58587,15656.503559823112,0.0058653466670622,130,153.11,0,1500.0,0,1500.0,0,1500.0,3622.0,51.41,36.63,1233.0,5.0,2.94,724.4,193.82,544.3,1447.67,2696.52,5754.04,7938.21,9923.05,12833.21,15474.8,18426.53,366.0,192.0,519.0,687.0,703.0,72200000.0
58637,11500.561914182048,0.0105452945855805,351,76.48,0,1500.0,9,313.56,0,1500.0,4904.0,50.14,36.47,1684.0,3.8,2.91,1290.53,0.0,1587.95,3351.66,5102.23,6555.53,8244.3,12302.32,17059.34,24867.81,33129.02,473.0,149.0,358.0,407.0,409.0,212750000.0
58657,14634.87745239672,0.0083818600638471,198,42.63,0,1500.0,3,381.48,0,1500.0,8556.0,49.46,34.36,2806.0,8.21,3.05,1042.14,537.96,1500.84,3251.34,5913.95,8997.56,12242.14,16084.76,19038.03,22883.02,26332.39,1049.0,396.0,608.0,1169.0,1192.0,78928000.0
58675,13751.879533400152,0.0104504573380909,472,98.05,0,1500.0,6,544.63,0,1500.0,5288.0,50.08,35.14,1806.0,2.19,2.93,2414.61,166.83,1342.4,2560.18,4295.06,6383.27,9161.07,13977.5,19464.88,26553.83,32831.08,634.0,200.0,222.0,424.0,436.0,431984500.0
58729,11770.247946373482,0.0120609907706218,288,224.22,0,1500.0,13,355.37,0,1500.0,5342.0,49.78,34.9,1781.0,3.34,3.0,1599.4,174.26,570.82,2282.17,5830.63,9026.89,13886.09,19622.29,25543.62,32370.59,37890.72,552.0,240.0,442.0,568.0,573.0,284920000.0
58738,13214.496750709886,0.0060873773619719,115,364.87,0,1500.0,0,1500.0,0,1500.0,3143.0,49.6,36.27,1104.0,6.14,2.85,511.89,187.29,493.75,830.29,1431.48,2720.32,4496.98,7074.55,9833.87,13274.34,19124.06,420.0,121.0,327.0,427.0,436.0,104850000.0
61789,16165.537822726188,0.0055456553159723,162,281.21,0,1500.0,3,393.75,1,291.76,5084.0,50.39,35.19,1709.0,4.31,2.97,1179.58,323.11,747.94,1084.9,1632.75,3244.3,5546.57,7539.75,10853.94,14410.18,17422.19,702.0,190.0,388.0,613.0,629.0,386920000.0
49354,11907.72465471426,0.0115237537109186,244,1.1,0,1500.0,4,98.97,0,1500.0,2803.0,48.95,37.06,1005.0,3.12,2.79,898.4,826.85,2363.04,5627.41,9316.12,13104.16,17673.26,22035.89,26639.96,31721.11,36202.94,265.0,111.0,138.0,438.0,443.0,125500000.0
49492,12373.88144611597,0.0110764773912485,356,178.79,0,1500.0,4,614.26,1,668.43,,,,,,,,0.0,215.49,1573.06,3804.16,6631.85,11150.33,15968.18,21870.93,28083.71,34797.78,335.0,207.0,308.0,585.0,589.0,150941200.0
50814,13147.907051247212,0.0097812012530929,167,108.35,0,1500.0,7,256.64,0,1500.0,2646.0,49.7,37.61,953.0,2.46,2.78,1075.61,290.1,1292.84,2881.97,5479.8,8794.21,12414.01,16175.54,21012.16,26207.61,30728.55,226.0,58.0,241.0,535.0,548.0,77750000.0
52667,14944.695890561186,0.0047532005726257,68,86.41,0,1500.0,1,448.26,0,1500.0,2864.0,49.72,37.49,1007.0,6.74,2.84,424.93,386.93,1217.67,2098.63,2839.58,4129.54,6021.54,8418.71,10529.36,12041.63,14932.62,295.0,105.0,204.0,487.0,490.0,34100000.0
52876,17465.01488956651,0.0051447471974227,140,124.57,1,224.63,1,754.67,0,1500.0,2938.0,49.12,38.81,1096.0,4.24,2.68,692.92,80.7,343.68,1414.26,2666.75,4345.39,6187.53,8059.94,10234.14,13263.65,16162.7,207.0,76.0,224.0,339.0,348.0,70200000.0
52888,13950.347421140095,0.0044451784619634,82,160.93,0,1500.0,0,1500.0,0,1500.0,2340.0,49.91,37.19,825.0,3.69,2.84,634.15,0.0,0.0,70.41,488.22,971.79,2434.41,4500.67,6777.89,10056.54,13964.94,241.0,78.0,227.0,310.0,318.0,264100000.0
52908,15761.55392856515,0.005384759217803,116,59.76,0,1500.0,2,697.81,0,1500.0,3126.0,48.21,37.73,1149.0,6.36,2.72,491.51,589.23,1299.53,1913.94,3129.13,4926.69,6762.66,9334.06,11703.59,14490.72,16916.72,277.0,79.0,190.0,491.0,499.0,63775000.0
52910,12624.174071534308,0.012204749064519,337,88.31,0,1500.0,7,191.8,1,755.42,4291.0,48.75,37.58,1532.0,3.77,2.8,1138.2,548.32,2324.78,5018.97,9256.18,14141.81,19347.99,24749.89,29562.38,33857.31,38342.35,292.0,182.0,337.0,712.0,722.0,163300000.0
52912,14874.493244543415,0.0062921970413358,208,38.05,0,1500.0,1,193.3,0,1500.0,3353.0,49.54,38.28,1225.0,3.71,2.74,903.77,571.52,1654.46,3090.08,4154.48,6526.34,9334.07,11179.19,13803.3,16859.27,19767.52,229.0,183.0,197.0,398.0,400.0,59400000.0
57821,14742.159305549372,0.0,157,12.32,0,1500.0,1,606.48,0,1500.0,2564.0,48.79,38.09,923.0,8.67,2.78,295.73,450.91,2114.96,4262.4,6771.87,9027.98,11692.51,13831.28,16393.31,18897.88,21267.19,236.0,59.0,215.0,479.0,482.0,87850000.0
